0,2.7006
0.002,-1.0995
0.004,7.3088
0.006,2.8371
0.008,6.5265
0.01,7.159
0.012,0.0059999
0.014,9.825
0.016,5.2089
0.018,-2.1145
0.02,2.9115
0.022,-3.4276
0.024,-1.5951
0.026,4.3674
0.028,7.976
0.03,-5.6982
0.032,1.1929
0.034,3.7424
0.036,2.7876
0.038,3.6805
0.04,2.0072
0.042,5.8365
0.044,2.6607
0.046,1.5335
0.048,-1.097
0.05,-2.8133
0.052,-2.0437
0.054,4.2635
0.056,-0.17691
0.058,2.3603
0.06,4.6428
0.062,4.2469
0.064,9.9708
0.066,0.32121
0.068,14.234
0.07,4.0738
0.072,-2.8848
0.074,0.952
0.076,4.6711
0.078,7.8288
0.08,0.32222
0.082,4.1629
0.084,3.9571
0.086,6.2264
0.088,-2.3498
0.09,11.514
0.092,-2.1928
0.094,6.681
0.096,1.3904
0.098,2.9966
0.1,5.7492
0.102,-0.061765
0.104,0.81964
0.106,5.3727
0.108,11.102
0.11,3.9161
0.112,-1.64
0.114,5.3687
0.116,-0.84009
0.118,4.862
0.12,-1.0977
0.122,0.22946
0.124,3.3173
0.126,4.729
0.128,0.8737
0.13,1.4718
0.132,3.1707
0.134,2.0668
0.136,3.9458
0.138,9.4031
0.14,-6.4001
0.142,6.9364
0.144,4.7395
0.146,2.3025
0.148,9.318
0.15,3.5133
0.152,7.3156
0.154,-1.34
0.156,-3.051
0.158,5.5156
0.16,-4.1678
0.162,3.132
0.164,5.3569
0.166,-0.77571
0.168,-2.5631
0.17,-0.90123
0.172,6.8091
0.174,-0.2224
0.176,7.1417
0.178,-1.8079
0.18,6.1697
0.182,2.5361
0.184,0.94492
0.186,8.8105
0.188,0.7641
0.19,12.963
0.192,-3.1017
0.194,-0.68208
0.196,-1.1566
0.198,-1.8438
0.2,2.0764
0.202,3.8557
0.204,2.8806
0.206,12.705
0.208,-1.5854
0.21,6.1399
0.212,2.801
0.214,1.8623
0.216,-1.0747
0.218,7.2249
0.22,8.2273
0.222,7.462
0.224,8.8306
0.226,0.11536
0.228,8.2244
0.23,4.3284
0.232,4.9803
0.234,-0.65939
0.236,-2.6834
0.238,0.046394
0.24,6.2374
0.242,-0.32402
0.244,-3.8522
0.246,-1.7902
0.248,7.3197
0.25,-2.1373
0.252,12.06
0.254,2.8566
0.256,6.1601
0.258,-4.0823
0.26,-6.8527
0.262,-0.25928
0.264,1.1843
0.266,-3.4239
0.268,12.842
0.27,6.7886
0.272,-3.2915
0.274,4.9875
0.276,2.6445
0.278,-0.50726
0.28,0.81643
0.282,7.1215
0.284,-0.63992
0.286,2.0771
0.288,3.2849
0.29,2.6518
0.292,1.1878
0.294,0.13653
0.296,-2.2899
0.298,4.6131
0.3,-0.35078
0.302,12.617
0.304,1.9487
0.306,5.3637
0.308,6.6322
0.31,-2.58
0.312,6.8171
0.314,1.672
0.316,-5.8984
0.318,11.296
0.32,2.865
0.322,1.5341
0.324,1.8558
0.326,-1.1125
0.328,1.6894
0.33,-5.2413
0.332,5.6471
0.334,8.8149
0.336,1.1257
0.338,0.073702
0.34,5.4279
0.342,3.1544
0.344,-1.6136
0.346,7.2445
0.348,0.80889
0.35,5.8303
0.352,0.76787
0.354,8.9707
0.356,5.4174
0.358,-0.37754
0.36,-2.0031
0.362,-0.31386
0.364,3.4022
0.366,9.4643
0.368,-0.17661
0.37,-4.667
0.372,-2.0529
0.374,-1.8542
0.376,-0.0798
0.378,-6.9512
0.38,5.9732
0.382,-1.9671
0.384,1.4555
0.386,1.1956
0.388,4.3864
0.39,-4.6274
0.392,-5.2178
0.394,5.7628
0.396,-1.1534
0.398,7.2833
0.4,2.6157
0.402,1.6901
0.404,1.4494
0.406,5.6308
0.408,-0.52409
0.41,-3.5078
0.412,1.9922
0.414,0.6342
0.416,-0.99783
0.418,-1.362
0.42,3.2884
0.422,-0.26862
0.424,-5.8126
0.426,8.8648
0.428,8.5282
0.43,1.2509
0.432,8.3216
0.434,2.2812
0.436,5.9481
0.438,5.8233
0.44,3.5561
0.442,3.292
0.444,3.2018
0.446,5.1779
0.448,-0.14512
0.45,2.7114
0.452,1.3803
0.454,1.8841
0.456,-0.65759
0.458,-2.3514
0.46,-6.8492
0.462,1.1447
0.464,-3.0951
0.466,-1.6716
0.468,8.1078
0.47,-1.1505
0.472,3.3315
0.474,-1.0315
0.476,3.9905
0.478,0.29225
0.48,6.287
0.482,0.2615
0.484,3.9018
0.486,3.0979
0.488,6.9801
0.49,-2.6577
0.492,4.0717
0.494,2.1485
0.496,-0.72478
0.498,-1.1324
0.5,2.9211
0.502,1.4329
0.504,2.1628
0.506,3.2765
0.508,1.8457
0.51,-0.92908
0.512,7.4472
0.514,3.6752
0.516,4.7921
0.518,-1.2025
0.52,11.635
0.522,-1.6972
0.524,9.6896
0.526,4.2003
0.528,3.4568
0.53,2.4403
0.532,13.87
0.534,4.659
0.536,6.8894
0.538,13.017
0.54,1.5403
0.542,3.4712
0.544,2.6207
0.546,5.86
0.548,8.4309
0.55,-1.0712
0.552,0.039349
0.554,9.9816
0.556,9.6383
0.558,-0.26941
0.56,-0.70299
0.562,2.0534
0.564,4.3631
0.566,1.6432
0.568,6.8017
0.57,5.6954
0.572,-1.1495
0.574,-1.5892
0.576,1.1965
0.578,1.4418
0.58,6.5155
0.582,9.7686
0.584,-4.7976
0.586,-1.4298
0.588,3.7878
0.59,1.3308
0.592,9.4799
0.594,-4.9622
0.596,3.6713
0.598,3.2396
0.6,1.4901
0.602,6.1375
