-15.2056 2
14.4158, 1
-14.2056 2
13.4158, 1
-13.2056 8
12.4158, 13
-12.2056 9
11.4158, 17
-11.2056 37
10.4158, 34
-10.2056 76
9.41584, 61
-9.20556 101
8.41584, 92
-8.20556 161
7.41584, 174
-7.20556 269
6.41584, 268
-6.20556 369
5.41584, 390
-5.20556 553
4.41584, 537
-4.20556 714
3.41584, 697
-3.20556 829
2.41584, 813
-2.20556 906
1.41584, 935
-1.20556 934
0.415836, 997
-0.205561 997
-0.584164, 934
0.794439 935
-1.58416, 906
1.79444 813
-2.58416, 829
2.79444 697
-3.58416, 714
3.79444 537
-4.58416, 553
4.79444 390
-5.58416, 369
5.79444 268
-6.58416, 269
6.79444 174
-7.58416, 161
7.79444 92
-8.58416, 101
8.79444 61
-9.58416, 76
9.79444 34
-10.5842, 37
10.7944 17
-11.5842, 9
11.7944 13
-12.5842, 8
12.7944 1
-13.5842, 2
13.7944 1
-14.5842, 2
